UDS 속성명,Gmarket/Auction 필드명,API 영역,사용 문서 수,UDS 필요도,설명
SKU상태,"Data>SkuStatusCode, SkuStatusCode",스타배송 API,3,✅ 핵심 UDS,ALL : 전체 SN100 : 정상 ST200 : 품절 ST299 : 출고중지 SI302 : 입고대기 SI300 : 검수대기 SI301 : 검수거부
SKU정보URL,Data>Data>SkuUrl,스타배송 API,1,✅ 핵심 UDS,판매자가 입력한 SKU정보URL 내려감
SKU코드,Data>SkuId,스타배송 API,3,✅ 핵심 UDS,재고현황 대상 SKU코드 내려감
SKU타이틀,SkuTitle,스타배송 API,1,✅ 핵심 UDS,"API로 SKU등록 시, [브랜드명]제조사명/SKU타이틀/중량/색상/모델명 각 항목별로 데이터 받은 후 Back에서 조합하여 SKU명으로 관리함 최대 20byte까지 등록가능하며, 전체 조합된 SKU명은 50byte까지 등록 조합 시, 분리된 데이터 표시를 위해 ""/""로 구분하여 등록됨"
SaStockQty,SaStockQty,스타배송 API,1,✅ 핵심 UDS,JSON sample key
SalePrice,SalePrice,주문/배송 API,2,✅ 핵심 UDS,JSON sample key
ScanDate,ScanDate,스타배송 API,1,✅ 핵심 UDS,JSON sample key
SearchString,SearchString,"Other, 스타배송 API",6,✅ 핵심 UDS,JSON sample key
SellOrderPrice,SellOrderPrice,정산조회 API,1,✅ 핵심 UDS,JSON sample key
SellerCashbackMoney,SellerCashbackMoney,주문/배송 API,1,✅ 핵심 UDS,JSON sample key
SellerDiscountPrice,SellerDiscountPrice,"정산조회 API, 주문/배송 API",3,✅ 핵심 UDS,JSON sample key
SellerDiscountPrice1,SellerDiscountPrice1,"정산조회 API, 주문/배송 API",3,✅ 핵심 UDS,JSON sample key
SellerDiscountPrice2,SellerDiscountPrice2,"정산조회 API, 주문/배송 API",3,✅ 핵심 UDS,JSON sample key
SellerDiscountTotalPrice,SellerDiscountTotalPrice,정산조회 API,1,✅ 핵심 UDS,JSON sample key
SellerFundingDiscountPrice,SellerFundingDiscountPrice,주문/배송 API,1,✅ 핵심 UDS,JSON sample key
SellerId,SellerId,"CS API, 정산조회 API, 주문/배송 API, 클레임 API",9,✅ 핵심 UDS,JSON sample key
SellerItemNo,SellerItemNo,주문/배송 API,1,✅ 핵심 UDS,JSON sample key
SellerPcsFee,SellerPcsFee,정산조회 API,1,✅ 핵심 UDS,JSON sample key
SellerQty,SellerQty,"Other, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
SellingPeriod,SellingPeriod,"상품 API, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
SenderInfo,SenderInfo,클레임 API,2,✅ 핵심 UDS,JSON sample key
ServiceFee,ServiceFee,"정산조회 API, 주문/배송 API",2,✅ 핵심 UDS,JSON sample key
SettleExceptName,SettleExceptName,정산조회 API,1,✅ 핵심 UDS,JSON sample key
SettleExpectDate,SettleExpectDate,정산조회 API,1,✅ 핵심 UDS,JSON sample key
SettleType,SettleType,정산조회 API,1,✅ 핵심 UDS,JSON sample key
SettlementPrice,SettlementPrice,"정산조회 API, 주문/배송 API",2,✅ 핵심 UDS,JSON sample key
ShippingCmplDate,ShippingCmplDate,정산조회 API,1,✅ 핵심 UDS,JSON sample key
ShippingDate,ShippingDate,"정산조회 API, 주문/배송 API",2,✅ 핵심 UDS,JSON sample key
ShippingFee,ShippingFee,"주문/배송 API, 클레임 API",4,✅ 핵심 UDS,JSON sample key
ShippingInfo,ShippingInfo,클레임 API,2,✅ 핵심 UDS,JSON sample key
SinglePayDcAmnt,SinglePayDcAmnt,주문/배송 API,1,✅ 핵심 UDS,JSON sample key
Site 상품번호,"Data>SiteGoodsNo, SiteGoodsNo, StieGoodsNo","CS API, 상품 API",3,✅ 핵심 UDS,이슈 되는 대표 Site 상품번호 내려감
Site 카테고리코드,catCode,스타배송 API,1,✅ 핵심 UDS,카테고리별 추천옵션코드 조회 request Path 값 G 마켓 or 옥션 사이트카테고리 코드 입력
Site 피딩관리코드,innerResultCode,상품 API,1,✅ 핵심 UDS,마스터 상품 기준으로 각 Site 에 등록된 상품번호를 조회 한 정보
Site 피딩관리코드메시지,innerMessage,상품 API,1,✅ 핵심 UDS,마스터 상품 기준으로 각 Site 에 등록된 상품번호를 조회 한 정보
SiteGoodsComment,SiteGoodsComment,"상품 API, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
SiteGoodsNo,SiteGoodsNo,"CS API, 상품 API, 스타배송 API, 정산조회 API, 주문/배송 API, 클레임 API",10,✅ 핵심 UDS,JSON sample key
SiteUserInput,SiteUserInput,스타배송 API,3,✅ 핵심 UDS,JSON sample key
SkuDesc,SkuDesc,스타배송 API,2,✅ 핵심 UDS,JSON sample key
SkuDetail,SkuDetail,스타배송 API,1,✅ 핵심 UDS,JSON sample key
SkuManageCode,SkuManageCode,스타배송 API,3,✅ 핵심 UDS,JSON sample key
SkuName,SkuName,"Other, 스타배송 API",4,✅ 핵심 UDS,JSON sample key
SkuPerPcsQty,SkuPerPcsQty,스타배송 API,1,✅ 핵심 UDS,JSON sample key
SkuQty,SkuQty,스타배송 API,1,✅ 핵심 UDS,JSON sample key
SkuStatusCode,SkuStatusCode,스타배송 API,3,✅ 핵심 UDS,JSON sample key
SkuStockRatioStatusCode,SkuStockRatioStatusCode,스타배송 API,2,✅ 핵심 UDS,JSON sample key
SkuSupplyPrice,SkuSupplyPrice,스타배송 API,2,✅ 핵심 UDS,JSON sample key
SkuTitle,SkuTitle,스타배송 API,1,✅ 핵심 UDS,JSON sample key
SkuUrl,SkuUrl,스타배송 API,2,✅ 핵심 UDS,JSON sample key
SlotInfo,SlotInfo,클레임 API,1,✅ 핵심 UDS,JSON sample key
SrchType,SrchType,정산조회 API,2,✅ 핵심 UDS,JSON sample key
Status,Status,"주문/배송 API, 클레임 API",3,✅ 핵심 UDS,JSON sample key
StatusChangeDate,StatusChangeDate,주문/배송 API,1,✅ 핵심 UDS,JSON sample key
Stock,Stock,"상품 API, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
StockQty,StockQty,스타배송 API,1,✅ 핵심 UDS,JSON sample key
StorageDesc,StorageDesc,"Other, 스타배송 API",5,✅ 핵심 UDS,JSON sample key
StorageType,StorageType,"Other, 스타배송 API",5,✅ 핵심 UDS,JSON sample key
SuccessList,SuccessList,"Other, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
SuccessNos,SuccessNos,스타배송 API,3,✅ 핵심 UDS,JSON sample key
TakbaeName,TakbaeName,주문/배송 API,1,✅ 핵심 UDS,JSON sample key
TaxYn,TaxYn,정산조회 API,1,✅ 핵심 UDS,JSON sample key
TelNo,TelNo,"주문/배송 API, 클레임 API",4,✅ 핵심 UDS,JSON sample key
TotCommission,TotCommission,정산조회 API,1,✅ 핵심 UDS,JSON sample key
TotalDelFeeAmt,TotalDelFeeAmt,정산조회 API,1,✅ 핵심 UDS,JSON sample key
TotalSettlementAmount,TotalSettlementAmount,정산조회 API,1,✅ 핵심 UDS,JSON sample key
TotalTransferAmountForeign,TotalTransferAmountForeign,정산조회 API,1,✅ 핵심 UDS,JSON sample key
TplKeepGradeCode,TplKeepGradeCode,스타배송 API,1,✅ 핵심 UDS,JSON sample key
TrackingUrl,TrackingUrl,주문/배송 API,1,✅ 핵심 UDS,JSON sample key
TransCompleteDate,TransCompleteDate,주문/배송 API,1,✅ 핵심 UDS,JSON sample key
TransDate,TransDate,주문/배송 API,1,✅ 핵심 UDS,JSON sample key
TransInfoAd1,TransInfoAd1,스타배송 API,1,✅ 핵심 UDS,JSON sample key
TransInfoAd2,TransInfoAd2,스타배송 API,1,✅ 핵심 UDS,JSON sample key
TransInfoHt,TransInfoHt,스타배송 API,1,✅ 핵심 UDS,JSON sample key
TransType,TransType,주문/배송 API,1,✅ 핵심 UDS,JSON sample key
TransferAmountForeign,TransferAmountForeign,정산조회 API,1,✅ 핵심 UDS,JSON sample key
TransferAmountKr,TransferAmountKr,정산조회 API,1,✅ 핵심 UDS,JSON sample key
TransferDate,TransferDate,정산조회 API,3,✅ 핵심 UDS,JSON sample key
UpStockQty,UpStockQty,스타배송 API,1,✅ 핵심 UDS,JSON sample key
UpdDate,UpdDate,"Other, 스타배송 API",5,✅ 핵심 UDS,JSON sample key
Value,Value,"Other, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
VatTaxfreeYn,VatTaxfreeYn,스타배송 API,1,✅ 핵심 UDS,JSON sample key
Vertical,Vertical,스타배송 API,2,✅ 핵심 UDS,JSON sample key
VolumnGradeCode,VolumnGradeCode,스타배송 API,1,✅ 핵심 UDS,JSON sample key
WarehouseInDate,WarehouseInDate,스타배송 API,1,✅ 핵심 UDS,JSON sample key
WarehouseName,WarehouseName,"Other, 스타배송 API",4,✅ 핵심 UDS,JSON sample key
WarehouseNo,WarehouseNo,스타배송 API,5,✅ 핵심 UDS,JSON sample key
WarehouseOutDate,WarehouseOutDate,스타배송 API,1,✅ 핵심 UDS,JSON sample key
WarehouseOutNo,WarehouseOutNo,"Other, 클레임 API",3,✅ 핵심 UDS,JSON sample key
WarehouseReqDate,WarehouseReqDate,스타배송 API,1,✅ 핵심 UDS,JSON sample key
WarehouseStatus,WarehouseStatus,"Other, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
WarehouseStatusCode,WarehouseStatusCode,스타배송 API,1,✅ 핵심 UDS,JSON sample key
Weight,Weight,스타배송 API,2,✅ 핵심 UDS,JSON sample key
WeightText,WeightText,스타배송 API,1,✅ 핵심 UDS,JSON sample key
WhoAddReturnShippingFee,WhoAddReturnShippingFee,클레임 API,1,✅ 핵심 UDS,JSON sample key
WhoExchangeShippingFee,WhoExchangeShippingFee,클레임 API,1,✅ 핵심 UDS,JSON sample key
WhoReturnShippingFee,WhoReturnShippingFee,클레임 API,1,✅ 핵심 UDS,JSON sample key
WhoShippingFee,WhoShippingFee,클레임 API,2,✅ 핵심 UDS,JSON sample key
Width,Width,스타배송 API,2,✅ 핵심 UDS,JSON sample key
WithdrawDate,WithdrawDate,클레임 API,3,✅ 핵심 UDS,JSON sample key
[ ] 우편번호,zipcodes,서비스 API,1,✅ 핵심 UDS,"- 우편번호는 지점별 우편번호 관리로 등록된 리스트 내에서만 지점별 설정 가능 - 한 지점의 서비스타입 : 권역 : 우편번호는 1 : 1 : N 관계 - 지점에 우편번호가 원거리와 같은 기존 정보가 설정 된 경우에도 , 서비스 및 권역이 설정 된 경우 해당 정보가 우선 함 - 우편번호는 List 로 등록"
[ ]우편번호,zipcodes,서비스 API,1,✅ 핵심 UDS,조회 시 내려가는 정보
[] 그룹번호,groupNo,상품 API,1,✅ 핵심 UDS,
[] 사이트 구분,siteId,상품 API,1,✅ 핵심 UDS,1 : 옥션 2 : 지마켓
[] 제품 StockNo,Data>Data>OrderDetail>StockNo,스타배송 API,1,✅ 핵심 UDS,판매자가 입력한 제품 StockNo 내려감
[] 출고된 박스사이즈,Data>Data>OrderDetail>BoxSize,스타배송 API,1,✅ 핵심 UDS,출고된 박스사이즈 내려감
[] 출고송장발급일시,Data>Data>OrderDetail>InvoiceIssueDate,스타배송 API,1,✅ 핵심 UDS,해당 SKU 출고송장번호 발급일시 내려감
[] 출고송장번호,Data>Data>OrderDetail>InvoiceNo,스타배송 API,1,✅ 핵심 UDS,해당 SKU 출고송장번호 내려감
[] 택배사코드,Data>Data>OrderDetail>DeliveryCompCode,스타배송 API,1,✅ 핵심 UDS,택배사별 5 자리 코드 아래 url 내 코드 참조 https://etapi.gmarket.com/142
[] 판매상태,sellStatus,상품 API,1,✅ 핵심 UDS,11 : 판매 중 21 : 판매 중지 22 : 직권 중지 31 : SKU 품절
[] 판매자 ID,siteSellerId,상품 API,1,✅ 핵심 UDS,
[] 판매자 관리코드,managedCode,상품 API,1,✅ 핵심 UDS,
[]SKU 관리코드,Data>Data>OrderDetail>SKUManageCode,스타배송 API,1,✅ 핵심 UDS,판매자가 입력한 SKU 관리코드 내려감
[]SKU 총출고수량,Data>Data>OrderDetail>OwQty,스타배송 API,1,✅ 핵심 UDS,판매자가 등록한 SKU 총출고수량
[]SKU관리코드,Data>Data>OrderDetail>InvoiceIssueDate,스타배송 API,1,✅ 핵심 UDS,판매자가 입력한 SKU관리코드 내려감
[]SKU명,Data>IwDetail>SkuName,스타배송 API,1,✅ 핵심 UDS,입고된 SKU명 내려감
[]SKU반출수량,Data>OutDetail>OutDetrmQty,Other,1,✅ 핵심 UDS,반출된 SKU반출수량 내려감
[]SKU반출요청수량,Data>OutDetail>OutReqQty,Other,1,✅ 핵심 UDS,반출된 SKU반출요청수량 내려감
[]SKU반품/교환입고 예정수량,Data>Reporting>ClaimSkuDetail>IwScheduledQty,스타배송 API,1,✅ 핵심 UDS,0 또는 정수
[]SKU반품/교환입고 확정수량,Data>Reporting>ClaimSkuDetail>IwDetrmQty,스타배송 API,1,✅ 핵심 UDS,0 또는 정수
[]SKU번호,"Data>IwDetail>SkuId, Data>OutDetail>SkuId, Data>Reporting>ClaimSkuDetail>SkuId, IwDetail>SkuId, OutDetail>SkuId, SkuDetail>skuId","Other, 스타배송 API",6,✅ 핵심 UDS,"입고요청할 SKU ID입력 택배입고는 1SKU : 1BOX로 분할되어 입고번호가 채번됨 송장별로 분할하여 중복 SKU 입력이 가능하나 1송장 안에 N SKU혼적 불가 택배입고는 입고요청 시, 20box이상 입고불가"
[]SKU재고유형,Data>OutDetail>SkuStockCode,Other,1,✅ 핵심 UDS,반출된 SKU재고유형 내려감 SA : 판매가능재고 UP : 신규주문재고 HS : 일반보류재고 RH : 반품보류재고 EH : 소비기한보류재고
[]SKU총출고수량,"Data>Data>OrderDetail>OwQty, SkuDetail>OwQty",스타배송 API,2,✅ 핵심 UDS,해당 SKU의 출고 수량을 카운팅하여 연동 정수만 입력 가능 0입력불가
[]Sku 번호,Data>Data>OrderDetail>SkuId,스타배송 API,1,✅ 핵심 UDS,지마켓에서 채번한 SKU 번호 내려감
[]Sku번호,Data>Data>OrderDetail>SkuId,스타배송 API,1,✅ 핵심 UDS,지마켓에서 채번한 SKU번호 내려감
[]바코드부착,IwDetail>BarcodeServiceYn,스타배송 API,1,✅ 핵심 UDS,유료서비스 Y : 서비스신청 N : 서비스신청 안 함
[]반출요청수량,OutDetail,Other,1,✅ 핵심 UDS,SKU직접입력시 수량 설정 필요
[]상품관리코드,Data>Data>OrderDetail>InvoiceIssueDate,스타배송 API,1,✅ 핵심 UDS,판매자가 입력한 상품관리코드 내려감
[]성공한SKU번호,"Data>SuccessList>IwDetail>SkuId, Data>SuccessList>OutDetail>SkuId","Other, 스타배송 API",2,✅ 핵심 UDS,입고요청 성공한 SKU번호 리스트
[]성공한SKU번호의입고층명,Data>SuccessList>IwDetail>StorageDesc,스타배송 API,1,✅ 핵심 UDS,입고요청 성공한 SKU번호의 물류센터입고층명
[]성공한SKU코드,Data>SuccessNos,스타배송 API,1,✅ 핵심 UDS,상태변경 성공한 SKU ID 리스트
[]성공한스마일주문번호,Data>SuccessNos,스타배송 API,2,✅ 핵심 UDS,출고요청 성공한 주문번호 리스트
[]성공한입고번호,Data>SuccessList>WarehouseNo,스타배송 API,1,✅ 핵심 UDS,입고요청 성공한 입고번호 리스트
[]성공한입고일자,Data>SuccessList>IwScheduledDate,스타배송 API,1,✅ 핵심 UDS,입고요청 성공한 입고의 입고예정일시
[]소비기한,IwDetail>ExpireDate,스타배송 API,1,✅ 핵심 UDS,"소비기한 입력 상미(소비)기한 관리 SKU일 경우 필수입력 '화물입고'의 경우, 1SKU 당 최대 3개 까지의 소비기한 등록 가능 '택배입고'의 경우, 박스 별 소비기한을 입력 1Box 안 SKU의 소비기한은 동일해야함"
[]송장번호,"Data>OutDetail>InvoiceNo, IwDetail>InvoiceNo","Other, 스타배송 API",2,✅ 핵심 UDS,스타배송 물류센터에서 발송한 송장번호 내려감
[]실패사유,Data>FailReasons>Message,"Other, 스타배송 API",5,✅ 핵심 UDS,출고요청 실패한 주문번호의 실패사유 Error Code 참고
[]실패한SKU번호,Data>FailReasons>IwDetail>SkuId,"Other, 스타배송 API",2,✅ 핵심 UDS,입고요청 실패한 SKU번호 리스트
[]실패한SKU번호입고층명,Data>SuccessList>IwDetail>StorageDesc,스타배송 API,1,✅ 핵심 UDS,입고요청 실패한 SKU번호의 물류센터입고층명
[]실패한SKU코드,Data>FailReasons>SkuId,스타배송 API,1,✅ 핵심 UDS,상태변경 실패한 SKU ID 리스트
[]실패한스마일주문번호,Data>FailReasons>FailNos,스타배송 API,2,✅ 핵심 UDS,출고요청 실패한 주문번호 리스트
[]실패한입고번호,Data>FailReasons>WarehouseNo,스타배송 API,1,✅ 핵심 UDS,입고요청 실패한 입고번호 리스트
[]실패한입고일자,Data>FailReasons>IwScheduledDate,스타배송 API,1,✅ 핵심 UDS,입고요청 실패한 입고의 입고예정일시
[]양품화 가능여부,Data>Reporting>ClaimSkuDetail>RestockYn,스타배송 API,1,✅ 핵심 UDS,Y: 가능 N: 불가
[]이미지1,Data>Reporting>ImageUrl1,스타배송 API,1,✅ 핵심 UDS,
[]이미지2,Data>Reporting>ImageUrl2,스타배송 API,1,✅ 핵심 UDS,
[]이미지3,Data>Reporting>ImageUrl3,스타배송 API,1,✅ 핵심 UDS,
[]이미지4,Data>Reporting>ImageUrl4,스타배송 API,1,✅ 핵심 UDS,
[]이미지5,Data>Reporting>ImageUrl5,스타배송 API,1,✅ 핵심 UDS,
[]입고예정수량,"Data>IwDetail>IwScheduledQty, IwDetail>IwScheduledQty",스타배송 API,2,✅ 핵심 UDS,입고예정수량은 입수량 단위로 숫자로만 입력 가능 (입고예정수량과 실제 수량이 다른 경우 입고가 거부될 수 있음) 예) 판매단위 = 낱개이면 낱개 입수량으로 입력
[]입고오류사유,Data>IwDetail>IwReasonMsg,스타배송 API,1,✅ 핵심 UDS,해당 SKU의 입고오류사유 내려감
[]입고오류코드,Data>IwDetail>IwReasonCode,스타배송 API,1,✅ 핵심 UDS,해당 SKU의 입고오류코드 내려감 OR : 과입고 PR : 부분 미입고 NR : 전체 미입고 ES : 바코드스캔오류 EB : 바코드오류 ER : 오입고(타상품 입고) EE : 소비기한오류 EU :입수오류 ET : 출고타입오류 D : 파손 EC : 기타 CR : 입고취소
[]입고완료수량,Data>IwDetail>IwDetrmQty,스타배송 API,1,✅ 핵심 UDS,해당 SKU의 입고완료수량 내려감
[]출고된 박스사이즈,Data>Data>OrderDetail>BoxSize,스타배송 API,1,✅ 핵심 UDS,출고된 박스사이즈 내려감
[]출고된 택배사코드,Data>Data>OrderDetail>DeliveryCompCode,스타배송 API,1,✅ 핵심 UDS,택배사별 5자리 코드 아래 택배사코드 참고
[]출고송장발급일시,Data>Data>OrderDetail>InvoiceIssueDate,스타배송 API,1,✅ 핵심 UDS,해당 SKU 출고송장번호 발급일시 내려감
[]출고송장번호,Data>Data>OrderDetail>InvoiceNo,스타배송 API,1,✅ 핵심 UDS,해당 SKU 출고송장번호 내려감
[]택배사명,Data>OutDetail>DeliveryCompCode,Other,1,✅ 핵심 UDS,스타배송 물류센터에서 발송한 택배사명 내려감(택배사코드는 나중에 적용됨)
[]택배사코드,IwDetail>DeliveryCompCode,스타배송 API,1,✅ 핵심 UDS,택배입고일 경우 필수입력 입고요청 시 아래 택배사만 제공 CJ대한통운 : 10013 우체국택배 : 10005 한진택배 : 10007 로젠택배 : 10003 롯데택배 : 10008 합동택배 : 10074 경동택배 : 10016 일양로지스 : 10015 기타택배 : 10034 화물입고일 경우 해당컬럼 입력하지 않음(null)
[]현재수량,Data>IwDetail>StockQty,스타배송 API,1,✅ 핵심 UDS,해당 SKU의 현재수량 내려감
adDeliberationId,adDeliberationId,스타배송 API,1,✅ 핵심 UDS,JSON sample key
adDeliberationNo,adDeliberationNo,스타배송 API,1,✅ 핵심 UDS,JSON sample key
addonService,addonService,스타배송 API,1,✅ 핵심 UDS,JSON sample key
addonServiceAmnt,addonServiceAmnt,스타배송 API,1,✅ 핵심 UDS,JSON sample key
addonServiceList,addonServiceList,스타배송 API,1,✅ 핵심 UDS,JSON sample key
addonServiceName,addonServiceName,"Other, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
addonServiceSeq,addonServiceSeq,스타배송 API,1,✅ 핵심 UDS,JSON sample key
addonServiceType,addonServiceType,스타배송 API,1,✅ 핵심 UDS,JSON sample key
addonServiceUseType,addonServiceUseType,스타배송 API,1,✅ 핵심 UDS,JSON sample key
addonServiceValueName,addonServiceValueName,스타배송 API,1,✅ 핵심 UDS,JSON sample key
addonServiceValueSeq,addonServiceValueSeq,스타배송 API,1,✅ 핵심 UDS,JSON sample key
addrNo,addrNo,"Other, 상품 API, 스타배송 API",4,✅ 핵심 UDS,JSON sample key
addtionalImg1URL,addtionalImg1URL,스타배송 API,1,✅ 핵심 UDS,JSON sample key
addtionalImg2URL,addtionalImg2URL,스타배송 API,1,✅ 핵심 UDS,JSON sample key
addtionalImg3URL,addtionalImg3URL,스타배송 API,1,✅ 핵심 UDS,JSON sample key
addtionalInfo,addtionalInfo,스타배송 API,1,✅ 핵심 UDS,JSON sample key
alreadySent,alreadySent,클레임 API,1,✅ 핵심 UDS,JSON sample key
attributeCode,attributeCode,스타배송 API,1,✅ 핵심 UDS,JSON sample key
backwoodsAdditionalShippingFee,backwoodsAdditionalShippingFee,"상품 API, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
backwoodsDeliveryYn,backwoodsDeliveryYn,스타배송 API,1,✅ 핵심 UDS,JSON sample key
barCode,barCode,"상품 API, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
baseFee,baseFee,스타배송 API,1,✅ 핵심 UDS,JSON sample key
basicImgURL,basicImgURL,스타배송 API,1,✅ 핵심 UDS,JSON sample key
book,book,스타배송 API,1,✅ 핵심 UDS,JSON sample key
branchCode,branchCode,주문/배송 API,2,✅ 핵심 UDS,JSON sample key
brand,brand,상품 API,1,✅ 핵심 UDS,JSON sample key
brandCode,brandCode,스타배송 API,1,✅ 핵심 UDS,JSON sample key
brandName,brandName,"Other, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
brandNo,brandNo,"Other, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
broadcastEquipment,broadcastEquipment,스타배송 API,1,✅ 핵심 UDS,JSON sample key
bundle,bundle,스타배송 API,1,✅ 핵심 UDS,JSON sample key
bundleDeliveryTmplId,bundleDeliveryTmplId,상품 API,1,✅ 핵심 UDS,JSON sample key
buyableQuantity,buyableQuantity,스타배송 API,1,✅ 핵심 UDS,JSON sample key
capacity,capacity,스타배송 API,1,✅ 핵심 UDS,JSON sample key
catCode,catCode,"Other, 상품 API, 스타배송 API",4,✅ 핵심 UDS,JSON sample key
catName,catName,"Other, 상품 API, 스타배송 API",4,✅ 핵심 UDS,JSON sample key
catalog,catalog,"상품 API, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
category,category,"상품 API, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
certId,certId,스타배송 API,1,✅ 핵심 UDS,JSON sample key
certInfo,certInfo,스타배송 API,1,✅ 핵심 UDS,JSON sample key
certOfficeName,certOfficeName,스타배송 API,1,✅ 핵심 UDS,JSON sample key
certTargetCode,certTargetCode,스타배송 API,1,✅ 핵심 UDS,JSON sample key
chi,chi,"Other, 스타배송 API",4,✅ 핵심 UDS,JSON sample key
child,child,스타배송 API,1,✅ 핵심 UDS,JSON sample key
chineseText,chineseText,"Other, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
code,code,"Other, 서비스 API, 스타배송 API",4,✅ 핵심 UDS,JSON sample key
combination,combination,"Other, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
companyName,companyName,스타배송 API,1,✅ 핵심 UDS,JSON sample key
companyNo,companyNo,스타배송 API,1,✅ 핵심 UDS,JSON sample key
condition,condition,"Other, 상품 API, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
contentId,contentId,스타배송 API,1,✅ 핵심 UDS,JSON sample key
createdDate,createdDate,상품 API,1,✅ 핵심 UDS,JSON sample key
customSchedules,customSchedules,스타배송 API,1,✅ 핵심 UDS,
dailyOrderCutoff,dailyOrderCutoff,스타배송 API,1,✅ 핵심 UDS,JSON sample key
data,data,"Other, 상품 API, 스타배송 API",11,✅ 핵심 UDS,JSON sample key
data>PageIndex,data>PageIndex,주문/배송 API,2,✅ 핵심 UDS,조회시 입력한 PageNo
data>PageSize,data>PageSize,주문/배송 API,2,✅ 핵심 UDS,조회시 입력한 PageSize
date,date,"서비스 API, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
dayOfWeek,dayOfWeek,스타배송 API,1,✅ 핵심 UDS,JSON sample key
dayOrderClosingTime,dayOrderClosingTime,스타배송 API,2,✅ 핵심 UDS,JSON sample key
deliveryTmplId,deliveryTmplId,"Other, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
descriptions,descriptions,스타배송 API,1,✅ 핵심 UDS,JSON sample key
detail,detail,상품 API,1,✅ 핵심 UDS,JSON sample key
details,details,"CS API, Other, 스타배송 API",6,✅ 핵심 UDS,JSON sample key
discount,discount,"Other, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
discountAmt,discountAmt,상품 API,1,✅ 핵심 UDS,JSON sample key
dispEndDate,dispEndDate,상품 API,1,✅ 핵심 UDS,JSON sample key
dispatchCloseTime,dispatchCloseTime,주문/배송 API,1,✅ 핵심 UDS,JSON sample key
dispatchPolicies,dispatchPolicies,주문/배송 API,1,✅ 핵심 UDS,JSON sample key
dispatchPolicyName,dispatchPolicyName,"상품 API, 주문/배송 API",2,✅ 핵심 UDS,JSON sample key
dispatchPolicyNo,dispatchPolicyNo,"상품 API, 스타배송 API, 주문/배송 API",3,✅ 핵심 UDS,JSON sample key
dispatchType,dispatchType,주문/배송 API,1,✅ 핵심 UDS,JSON sample key
dutyIncludedYn,dutyIncludedYn,주문/배송 API,1,✅ 핵심 UDS,JSON sample key
each,each,스타배송 API,1,✅ 핵심 UDS,JSON sample key
electric,electric,스타배송 API,1,✅ 핵심 UDS,JSON sample key
endDate,endDate,"CS API, Other, 상품 API, 스타배송 API",9,✅ 핵심 UDS,JSON sample key
eng,eng,"Other, 스타배송 API",4,✅ 핵심 UDS,JSON sample key
englishText,englishText,"Other, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
environmentFriendly,environmentFriendly,스타배송 API,1,✅ 핵심 UDS,JSON sample key
epinCode,epinCode,"상품 API, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
epinName,epinName,상품 API,1,✅ 핵심 UDS,JSON sample key
esm,esm,"상품 API, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
expiryDate,expiryDate,스타배송 API,1,✅ 핵심 UDS,JSON sample key
exposeLanguage,exposeLanguage,"Other, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
exposeYN,exposeYN,스타배송 API,1,✅ 핵심 UDS,JSON sample key
exposureDate,exposureDate,상품 API,1,✅ 핵심 UDS,JSON sample key
fee,fee,"상품 API, 스타배송 API",4,✅ 핵심 UDS,JSON sample key
feePayType,feePayType,스타배송 API,1,✅ 핵심 UDS,JSON sample key
feeType,feeType,"상품 API, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
food,food,스타배송 API,1,✅ 핵심 UDS,JSON sample key
from,from,상품 API,1,✅ 핵심 UDS,JSON sample key
generalPost,generalPost,스타배송 API,1,✅ 핵심 UDS,JSON sample key
gift,gift,"상품 API, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
giftOrderStatus,giftOrderStatus,주문/배송 API,1,✅ 핵심 UDS,JSON sample key
gifts,gifts,스타배송 API,1,✅ 핵심 UDS,JSON sample key
goodsCount,goodsCount,스타배송 API,1,✅ 핵심 UDS,JSON sample key
goodsType,goodsType,스타배송 API,1,✅ 핵심 UDS,JSON sample key
