UDS 속성명,Naver 필드명,API 영역,사용 문서 수,UDS 필요도,설명
배송비 정보 (object) REQUIRED,deliveryFee,상품 일괄 수정,1,✅ 핵심 UDS,deliveryFee 배송비 정보 (object) REQUIRED
배송일,dispatchDate,발주/발송 처리,1,✅ 핵심 UDS,dispatchDate string<date-time> 배송일 Example: 2022-04-05T12:17:35.000+09:00
배송지 정보 변경 여부,receiverAddressChanged,주문 조회,1,✅ 핵심 UDS,receiverAddressChanged boolean 배송지 정보 변경 여부. 45바이트 내외 Default value: false
벌크 업데이트 종류 (string) IMMEDIATE,productBulkUpdateType,상품 일괄 수정,1,✅ 핵심 UDS,"productBulkUpdateType 벌크 업데이트 종류 (string) IMMEDIATE_DISCOUNT(기본 할인), SALE_PRICE(판매가), SALE_PERIOD(판매 기간), DELIVERY(배송 정보), DELIVERY_ATTRIBUTE(배송 속성), DELIVERY_HOPE(희망일배송), PURCHASE_BENEFIT(구매/리뷰 혜택), PURCHASE_QUANTITY_LIMIT(구매 수량 제한) Possible values: [IMMEDIATE_DISCOUNT, SALE_PRICE, SALE_PERIOD, DELIVERY, DELIVERY_ATTRIBUTE, DELIVERY_HOPE, PURCHASE_BENEFIT, PURCHASE_QUANTITY_LIMIT]"
베스트 여부(윈도 채널 전용) (boolean) 미,best,상품,7,✅ 핵심 UDS,best 베스트 여부(윈도 채널 전용) (boolean) 미입력 시 false로 저장됩니다.
변경 금액 (integer,value,상품 일괄 수정,1,✅ 핵심 UDS,value 변경 금액 (integer<int32>) REQUIRED
변경 사유,"changeReason, reason","발주/발송 처리, 솔루션 사용 API",3,✅ 핵심 UDS,changeReason string REQUIRED 변경 사유. 길이 제한 1~300
별도 설치비 유무 (boolean) 설치 여부가 false이,installationFee,상품 일괄 수정,1,✅ 핵심 UDS,installationFee 별도 설치비 유무 (boolean) 설치 여부가 false이면 별도 설치비 유무는 입력한 값에 관계 없이 false로 설정됩니다.
보류 상세 사유,"holdbackExchangeDetailReason, holdbackReturnDetailReason","교환, 반품",2,✅ 핵심 UDS,holdbackExchangeDetailReason string REQUIRED 보류 상세 사유 Example: 미입고 상태
보류 유형,holdbackClassType,"교환, 반품",2,✅ 핵심 UDS,holdbackClassType holdbackReason.pay-order-seller (string) REQUIRED 보류 유형. 250바이트 내외 코드 설명 비고 RETURN_DELIVERYFEE 반품 배송비 청구 EXTRAFEEE 추가 비용 청구 RETURN_DELIVERYFEE_AND_EXTRAFEEE 반품 배송비 + 추가 비용 청구 RETURN_PRODUCT_NOT_DELIVERED 반품 상품 미입고 ETC 기타 사유 EXCHANGE_DELIVERYFEE 교환 배송비 청구 EXCHANGE_EXTRAFEE 추가 교환 비용 청구 EXCHANGE_PRODUCT_READY 교환 상품 준비 중 EXCHANGE_PRODUCT_NOT_DELIVERED 교환 상품 미입고 EXCHANGE_HOLDBACK 교환 구매 확정 보류 SELLER_CONFIRM_NEED 판매자 확인 필요 PURCHASER_CONFIRM_NEED 구매자 확인 필요 SELLER_REMIT 판매자 직접 송금 ETC2 기
복수 구매 할인 (integer,multiPurchaseDiscount,상품 목록,1,✅ 핵심 UDS,multiPurchaseDiscount 복수 구매 할인 (integer<int64>) Possible values: <= 10000000
복수 구매 할인 단위 (string) 복수 구매 할인 단위,multiPurchaseDiscountUnitType,상품 목록,1,✅ 핵심 UDS,"multiPurchaseDiscountUnitType 복수 구매 할인 단위 (string) 복수 구매 할인 단위 타입. PERCENT, WON만 입력 가능합니다. PERCENT(정율), WON(정액) Possible values: [PERCENT, WON]"
복수 구매 할인 정책 (object),multiPurchaseDiscountPolicy,상품 일괄 수정,1,✅ 핵심 UDS,multiPurchaseDiscountPolicy 복수 구매 할인 정책 (object)
복수 선택형 속성값 최대 매칭 수 (integer,attributeValueMaxMatchingCount,상품 속성,1,✅ 핵심 UDS,attributeValueMaxMatchingCount 복수 선택형 속성값 최대 매칭 수 (integer<int32>)
복원 요청 가능 여부 (boolean) Y 또는 N,restorationRequestAvailable,상품 검수,1,✅ 핵심 UDS,restorationRequestAvailable 복원 요청 가능 여부 (boolean) Y 또는 N. 이미 복원 요청하여 검수 진행 중인 상품의 경우 N을 입력합니다.
부가가치세 타입 코드 (string),taxType,그룹상품,3,✅ 핵심 UDS,"taxType 부가가치세 타입 코드 (string) 네이버 상품 API에서 부가가치세의 타입을 나타내기 위해 사용하는 코드입니다. 미입력 시 TAX(과세 상품)로 등록됩니다. TAX(과세 상품), DUTYFREE(면세 상품), SMALL(영세 상품) Possible values: [TAX, DUTYFREE, SMALL]"
부가가치세 타입 코드 (string) Possible val,taxType,그룹상품,1,✅ 핵심 UDS,"taxType 부가가치세 타입 코드 (string) Possible values: [TAX, DUTYFREE, SMALL]"
브랜드 인증 여부 (boolean),brandCertificationYn,그룹상품,4,✅ 핵심 UDS,brandCertificationYn 브랜드 인증 여부 (boolean)
브랜드 ID (integer,brandId,그룹상품,4,✅ 핵심 UDS,brandId 브랜드 ID (integer<int64>)
브랜드명 (string),brandName,"Other, 그룹상품, 상품 목록, 카탈로그",8,✅ 핵심 UDS,brandName 브랜드명 (string)
빠른정산 금액 (number) NULLABLE 빠른정산 금액,quickSettleAmount,정산 내역,1,✅ 핵심 UDS,quickSettleAmount 빠른정산 금액 (number) NULLABLE 빠른정산 금액
사다리차 이용 시,ladderTruckUseComment,상품 배송 정보,5,✅ 핵심 UDS,ladderTruckUseComment 사다리차 이용 시 입력 사항 (string)
사업자 통관 판매 여부 (boolean) 출고지 주소가 해외,businessCustomsClearanceSaleYn,상품 일괄 수정,1,✅ 핵심 UDS,businessCustomsClearanceSaleYn 사업자 통관 판매 여부 (boolean) 출고지 주소가 해외인 경우에만 적용됩니다. 미입력 시 false로 입력됩니다.
사용 상태 변경 사유 (string) REQUIRED 사용,reason,솔루션 사용 API,2,✅ 핵심 UDS,reason 사용 상태 변경 사유 (string) REQUIRED 사용 상태 변경 사유
사용 상태 변경 사유(관리자용) (string) REQUIR,comment,솔루션 사용 API,2,✅ 핵심 UDS,comment 사용 상태 변경 사유(관리자용) (string) REQUIRED 사용 상태 변경 사유(관리자용)
사용 여부,usable,상품 배송 정보,2,✅ 핵심 UDS,usable boolean 사용 여부
사용 여부 (boolean) REQUIRED,usable,상품 배송 정보,5,✅ 핵심 UDS,usable 사용 여부 (boolean) REQUIRED
사용 여부 (boolean) REQUIRED 기본 그룹인 경,usable,상품 배송 정보,5,✅ 핵심 UDS,usable 사용 여부 (boolean) REQUIRED 기본 그룹인 경우 자동으로 true로 설정됩니다.
사유 (string),reason,상품 검수,1,✅ 핵심 UDS,reason 사유 (string)
사유 (string) 사유,reason,외부 개발사 자체 결제,1,✅ 핵심 UDS,reason 사유 (string) 사유
사은품 (string),gift,상품 목록,1,✅ 핵심 UDS,gift 사은품 (string)
사은품 정책 (object),giftPolicy,상품 일괄 수정,1,✅ 핵심 UDS,giftPolicy 사은품 정책 (object)
상세 유형 (string) NULLABLE 상세 유형(결제,detailType,부가세 내역,1,✅ 핵심 UDS,"detailType 상세 유형 (string) NULLABLE 상세 유형(결제 수단 정산, 혜택 정산, 공제/환급) VOUCH_DETAIL_PAYMENT_SETL(결제 수단 정산) VOUCH_DETAIL_COUPON_SETL(혜택 정산) VOUCH_DETAIL_PRODUCT_COUPON_SETL(혜택 정산(상품 할인)) VOUCH_DETAIL_ORDER_COUPON_SETL(혜택 정산(스토어 할인)) VOUCH_DETAIL_DLVFEE_COUPON_SETL(혜택 정산(배송비 할인)) VOUCH_DETAIL_DDTN_RSTOR(공제/환급) VOUCH_DETAIL_RTNDLV(공제/환급(반품 배송비)) VOUCH_DETAIL_ETCDLV(공제/환급(기타)) VOUCH_DETAIL_DCCNCL(공제/환급(복수구매 할인 취소)) VOUCH_DETAIL_DLVREC(공제/환급(배송비 금액 변동)) VOUCH_DETAIL_DLCNCL(공제/환급(배송비 할인 금액 변동)) Possible val"
상세 정보 임시 ID (integer,detailContentTempId,그룹상품,1,✅ 핵심 UDS,detailContentTempId 상세 정보 임시 ID (integer<int64>) 임시 ID는 1시간 동안 유효합니다. 반환받은 임시 ID는 그룹상품 등록/수정 API에서 상품별로 상품 상세 정보를 다르게 입력하는 경우에 사용합니다.
상세 주소,detailAddress,판매자 주소록,2,✅ 핵심 UDS,detailAddress string 상세 주소
상태,status,"부가세 내역, 솔루션 사용 API, 판매자 인증 JWE 해석",7,✅ 핵심 UDS,"status 상태 (string) NULLABLE 상태(원주문 매출, 주문 취소, 공제/환급, 환급 취소, 수량 취소 정산(공제), 수량 취소 정산(환급)) VOUCH_PUBLICATION(원주문 매출) VOUCH_CANCEL(주문 취소) VOUCH_RSTOR_PUBLICATION(공제/환급) VOUCH_RSTOR_CANCEL(환급 취소) Possible values: [VOUCH_PUBLICATION, VOUCH_CANCEL, VOUCH_RSTOR_PUBLICATION, VOUCH_RSTOR_CANCEL]"
상품 고객 혜택 정보 (object),customerBenefit,상품,3,✅ 핵심 UDS,customerBenefit 상품 고객 혜택 정보 (object)
상품 고객 혜택 정보 응답 (object),customerBenefit,상품,7,✅ 핵심 UDS,customerBenefit 상품 고객 혜택 정보 응답 (object)
상품 구매 포인트 정책 (object),purchasePointPolicy,상품 일괄 수정,1,✅ 핵심 UDS,purchasePointPolicy 상품 구매 포인트 정책 (object)
상품 구매 포인트(관리자) (integer,managerPurchasePoint,상품 목록,1,✅ 핵심 UDS,managerPurchasePoint 상품 구매 포인트(관리자) (integer<int64>)
상품 구매 포인트(판매자) (integer,sellerPurchasePoint,상품 목록,1,✅ 핵심 UDS,sellerPurchasePoint 상품 구매 포인트(판매자) (integer<int64>)
상품 구매 포인트(판매자) 할인 단위 (string) 상품,sellerPurchasePointUnitType,상품 목록,1,✅ 핵심 UDS,"sellerPurchasePointUnitType 상품 구매 포인트(판매자) 할인 단위 (string) 상품 구매 포인트(판매자) 할인 단위 타입. PERCENT, WON만 입력 가능합니다. PERCENT(정율), WON(정액) Possible values: [PERCENT, WON]"
상품 등록일 (string,regDate,상품 목록,1,✅ 핵심 UDS,regDate 상품 등록일 (string<date-time>)
상품 문의 답변 내용 (string) REQUIRED,commentContent,상품 문의,1,✅ 핵심 UDS,commentContent 상품 문의 답변 내용 (string) REQUIRED
상품 문의 번호 (integer,questionId,상품 문의,2,✅ 핵심 UDS,questionId 상품 문의 번호 (integer<int64>)
상품 문의 템플릿 유형 (string) PRODUCT(상품),questionType,상품 문의,1,✅ 핵심 UDS,"questionType 상품 문의 템플릿 유형 (string) PRODUCT(상품), DELIVERY(배송), RETURN(반품), EXCHANGE(교환), REFUND(환불), ETC(기타) Possible values: [PRODUCT, DELIVERY, RETURN, EXCHANGE, REFUND, ETC]"
상품 문의 ID,questionId,상품 문의,1,✅ 핵심 UDS,questionId integer<int64> REQUIRED 상품 문의 ID
상품 사이즈 (object),productSize,그룹상품,4,✅ 핵심 UDS,productSize 상품 사이즈 (object)
상품 상세,detailPv,쇼핑행동 분석,1,✅ 핵심 UDS,detailPv number<double> 상품 상세 조회 수
상품 상세 정보 (string) REQUIRED,detailContent,상품,7,✅ 핵심 UDS,detailContent 상품 상세 정보 (string) REQUIRED
상품 상세 정보 (string) REQUIRED 상품 수정,detailContent,상품,3,✅ 핵심 UDS,detailContent 상품 상세 정보 (string) REQUIRED 상품 수정 시에만 생략할 수 있습니다. 이 경우 기존에 저장된 상품 상세 정보 값이 유지됩니다.
상품 이미지 (object) REQUIRED,images,상품,7,✅ 핵심 UDS,images 상품 이미지 (object) REQUIRED
상품 주문 번호,dispatchProductOrders,발주/발송 처리,1,✅ 핵심 UDS,"dispatchProductOrders dispatchProductOrder.pay-order-seller (object)[] Array [ productOrderId string 상품 주문 번호 Example: 2022040521691281 deliveryMethod deliveryMethod.pay-order-seller (string) 배송 방법 코드. 250바이트 내외 코드 설명 비고 DELIVERY 택배, 등기, 소포 GDFW_ISSUE_SVC 굿스플로 송장 출력 VISIT_RECEIPT 방문 수령 DIRECT_DELIVERY 직접 전달 QUICK_SVC 퀵서비스 NOTHING 배송 없음 RETURN_DESIGNATED 지정 반품 택배 RETURN_DELIVERY 일반 반품 택배 RETURN_INDIVIDUAL 직접 반송 RETURN_MERCHANT 판매자 직접 수거(장보기 전용) UNKNOWN 알 수 없음(예외 처리에 사용) Example: DELIVERY delivery"
상품 주문 상태 목록,productOrderStatuses,주문 조회,1,✅ 핵심 UDS,"productOrderStatuses productOrderStatus.pay-order-seller (string)[] 상품 주문 상태 목록. 250바이트 내외 코드 설명 비고 PAYMENT_WAITING 결제 대기 PAYED 결제 완료 DELIVERING 배송 중 DELIVERED 배송 완료 PURCHASE_DECIDED 구매 확정 EXCHANGED 교환 CANCELED 취소 RETURNED 반품 CANCELED_BY_NOPAYMENT 미결제 취소 Example: [PAYMENT_WAITING, PAYED, CANCELED]"
상품 주문 옵션,productOrderOption,고객 문의 조회,2,✅ 핵심 UDS,productOrderOption string 상품 주문 옵션
상품 주문 ID 목록(여러 개의 상품 주문에 대해 문의했을,productOrderIdList,고객 문의 조회,2,✅ 핵심 UDS,"productOrderIdList string 상품 주문 ID 목록(여러 개의 상품 주문에 대해 문의했을 경우 각각의 상품 주문 ID가 ','로 구분되어 출력됨)"
상품 카테고리(대),largeCategory,판매 분석,2,✅ 핵심 UDS,largeCategory string 상품 카테고리(대)
상품 카테고리(세),detailCategory,판매 분석,2,✅ 핵심 UDS,detailCategory string 상품 카테고리(세)
상품 카테고리(소),smallCategory,판매 분석,3,✅ 핵심 UDS,smallCategory string 상품 카테고리(소)
상품 카테고리(중),middleCategory,판매 분석,2,✅ 핵심 UDS,middleCategory string 상품 카테고리(중)
상품 판매 가격 (integer,salePrice,상품,8,✅ 핵심 UDS,salePrice 상품 판매 가격 (integer<int64>) REQUIRED Possible values: <= 999999990
상품 판매 상태 목록 (string),productStatusTypes,상품 목록,1,✅ 핵심 UDS,"productStatusTypes 상품 판매 상태 목록 (string)[] 조회하려는 상품 판매 상태를 선택합니다. WAIT(판매 대기), SALE(판매 중), OUTOFSTOCK(품절), UNADMISSION(승인 대기), REJECTION(승인 거부), SUSPENSION(판매 중지), CLOSE(판매 종료), PROHIBITION(판매 금지) Possible values: [WAIT, SALE, OUTOFSTOCK, UNADMISSION, REJECTION, SUSPENSION, CLOSE, PROHIBITION, DELETE]"
상품 판매 상태 코드 (string) REQUIRED 변경하,statusType,상품,1,✅ 핵심 UDS,"statusType 상품 판매 상태 코드 (string) REQUIRED 변경하려는 상품 판매 상태 SALE(판매 중), OUTOFSTOCK(품절), SUSPENSION(판매 중지) 현재 상태에 따라 변경 가능한 상태는 다음과 같습니다. SALE(판매 중) → OUTOFSTOCK(품절)으로 변경(재고 수량은 0으로 변경됨) SUSPENSION(판매 중지), OUTOFSTOCK(품절) → SALE(판매 중)로 변경(품절에서 판매 중으로 변경 시 재고 수량 입력 필수) SALE(판매 중), OUTOFSTOCK(품절), WAIT(판매 대기) → SUSPENSION(판매 중지)으로 변경 상품의 재고 수량이 0인 경우 상태는 전달된 값과 무관하게 OUTOFSTCOK(품절) 상태를 유지합니다. 단, 현재 상태가 SUSPENSION(판매 중지)이면 전송된 재고 수량이 0이어도 SUSPENSION(판매 중지)으로 유지됩니다. Possible values: [WAIT, SALE, OUTOFSTOCK"
상품 판매 상태 코드 (string) REQUIRED 상품,statusType,상품,3,✅ 핵심 UDS,"statusType 상품 판매 상태 코드 (string) REQUIRED 상품 API에서 상품의 판매 상태를 나타내기 위해 사용하는 코드입니다. 상품 등록 시에는 SALE(판매 중)만 입력할 수 있으며, 상품 수정 시에는 SALE(판매 중), SUSPENSION(판매 중지)만 입력할 수 있습니다. 상품 등록 시에 SUSPENSION(판매 중지)을 입력하면 SALE(판매 중)로 등록됩니다. StockQuantity의 값이 0인 경우 상품 상태는 OUTOFSTOCK(품절)으로 등록됩니다. 품절 상태의 상품을 판매 중으로 변경하는 경우, StockQuantity(재고 수량)와 함께 statusType을 SALE(판매 중)로 입력해야 합니다. WAIT(판매 대기), SALE(판매 중), OUTOFSTOCK(품절), UNADMISSION(승인 대기), REJECTION(승인 거부), SUSPENSION(판매 중지), CLOSE(판매 종료), PROHIBITION(판매 금지) Possible "
상품 판매 상태 코드 (string) REQUIRED Pos,statusType,상품,7,✅ 핵심 UDS,"statusType 상품 판매 상태 코드 (string) REQUIRED Possible values: [WAIT, SALE, OUTOFSTOCK, UNADMISSION, REJECTION, SUSPENSION, CLOSE, PROHIBITION, DELETE]"
상품 판매 상태 코드 (string) WAIT(판매 대기),statusType,상품 목록,1,✅ 핵심 UDS,"statusType 상품 판매 상태 코드 (string) WAIT(판매 대기), SALE(판매 중), OUTOFSTOCK(품절), UNADMISSION(승인 대기), REJECTION(승인 거부), SUSPENSION(판매 중지), CLOSE(판매 종료), PROHIBITION(판매 금지) Possible values: [WAIT, SALE, OUTOFSTOCK, UNADMISSION, REJECTION, SUSPENSION, CLOSE, PROHIBITION, DELETE]"
상품 판매 유형 코드 (string) 상품 API에서 상품의,saleType,"그룹상품, 상품",6,✅ 핵심 UDS,"saleType 상품 판매 유형 코드 (string) 상품 API에서 상품의 판매 유형을 나타내기 위해 사용하는 코드입니다. 미입력 시 NEW(새 상품)로 등록됩니다. NEW(새 상품), OLD(중고 상품) Possible values: [NEW, OLD]"
상품 판매 유형 코드 (string) Possible val,saleType,"그룹상품, 상품",8,✅ 핵심 UDS,"saleType 상품 판매 유형 코드 (string) Possible values: [NEW, OLD]"
상품 행동 분석 항목 목록 Array,rows,쇼핑행동 분석,1,✅ 핵심 UDS,rows ProductActionRow (object)[] 상품 행동 분석 항목 목록 Array [ detailPv number<double> 상품 상세 조회 수 productId string 상품 ID productName string 상품명 productQuantity number<double> 결제 상품 수량 ]
상품 ID,productId,"상품 문의, 쇼핑행동 분석, 정산 내역, 판매 분석",8,✅ 핵심 UDS,productId 상품 번호 (string) NULLABLE 상품 번호
상품/검색 채널 분석 항목 목록 Array,rows,판매 분석,1,✅ 핵심 UDS,rows ProductSearchReportRow (object)[] 상품/검색 채널 분석 항목 목록 Array [ channelGroup string 채널 그룹 channelName string 채널명 detailCategory string 상품 카테고리(세) largeCategory string 상품 카테고리(대) middleCategory string 상품 카테고리(중) numPurchases number<double> 결제 수 payAmount number<double> 결제 금액 productId string 상품 ID productName string 상품명 refKeyword string 키워드 smallCategory string 상품 카테고리(소) ]
상품/검색 채널 키워드별 상품 분석 항목 목록 Array,rows,판매 분석,1,✅ 핵심 UDS,rows KeywordByProductReportRow (object)[] 상품/검색 채널 키워드별 상품 분석 항목 목록 Array [ payAmount number<double> 결제 금액 productName string 상품명 refKeyword string 키워드 ]
상품/마케팅 채널 분석 항목 목록 Array,rows,판매 분석,1,✅ 핵심 UDS,rows ProductMarketingReportRow (object)[] 상품/마케팅 채널 분석 항목 목록 Array [ channelDetail string 채널 상세 channelGroup string 채널 그룹 channelName string 채널명 detailCategory string 상품 카테고리(세) largeCategory string 상품 카테고리(대) middleCategory string 상품 카테고리(중) numPurchases number<double> 결제 수 payAmount number<double> 결제 금액 productId string 상품 ID productName string 상품명 smallCategory string 상품 카테고리(소) ]
상품/마케팅 채널 카테고리(소)별 채널 분석 항목 목록 Ar,rows,판매 분석,1,✅ 핵심 UDS,rows ProductCategoryChannelReportRow (object)[] 상품/마케팅 채널 카테고리(소)별 채널 분석 항목 목록 Array [ channelName string 채널명 payAmount number<double> 결제 금액 smallCategory string 상품 카테고리(소) ]
상품명,productName,"고객 문의 조회, 부가세 내역, 상품 문의, 쇼핑행동 분석, 정산 내역, 판매 분석",12,✅ 핵심 UDS,productName 상품명 (string) NULLABLE 상품명
상품번호,productNo,고객 문의 조회,2,✅ 핵심 UDS,productNo string 상품번호
상품별 결제 금액 상위 10 Array,payAmountByProduct,실시간 분석,1,✅ 핵심 UDS,payAmountByProduct DimensionAndMetric (object)[] 상품별 결제 금액 상위 10 Array [ dimension string 집계 필드 metric number<double> 집계 수치 rate number<double> 비율 정보. 비율 값을 전달하는 경우 해당 필드 전달 ]
상품정보제공고시 (object),productInfoProvidedNotice,그룹상품,1,✅ 핵심 UDS,productInfoProvidedNotice 상품정보제공고시 (object)
상품정보제공고시 (object) REQUIRED,productInfoProvidedNotice,그룹상품,3,✅ 핵심 UDS,productInfoProvidedNotice 상품정보제공고시 (object) REQUIRED
상품정보제공고시 상품군 유형 (string) Possible,productInfoProvidedNoticeType,상품정보제공고시,2,✅ 핵심 UDS,"productInfoProvidedNoticeType 상품정보제공고시 상품군 유형 (string) Possible values: [WEAR, SHOES, BAG, FASHION_ITEMS, SLEEPING_GEAR, FURNITURE, IMAGE_APPLIANCES, HOME_APPLIANCES, SEASON_APPLIANCES, OFFICE_APPLIANCES, OPTICS_APPLIANCES, MICROELECTRONICS, CELLPHONE, NAVIGATION, CAR_ARTICLES, MEDICAL_APPLIANCES, KITCHEN_UTENSILS, COSMETIC, JEWELLERY, FOOD, GENERAL_FOOD, DIET_FOOD, KIDS, MUSICAL_INSTRUMENT, SPORTS_EQUIPMENT, BOOKS, LODGMENT_RESERVATION, TRAVEL_PACKAGE, AIRLINE_TICKET, RENT_CAR, RENTAL_HA, RENTA"
상품정보제공고시 상품군 유형 상세 정보 (object),productInfoProvidedNoticeContents,상품정보제공고시,2,✅ 핵심 UDS,productInfoProvidedNoticeContents 상품정보제공고시 상품군 유형 상세 정보 (object)[] Array [ fieldType 상품정보제공고시 상품군 필드 타입 (string) fieldName 상품정보제공고시 상품군 필드 이름 (string) fieldDescription 상품정보제공고시 상품군 필드 설명 (string) fieldAddDescription 상품정보제공고시 상품군 필드 추가 설명 (string) fieldMaxLength 상품정보제공고시 상품군 필드 길이 (integer<int32>) ]
상품정보제공고시 상품군 유형 Possible values,productInfoProvidedNoticeType,상품정보제공고시,1,✅ 핵심 UDS,"productInfoProvidedNoticeType string REQUIRED 상품정보제공고시 상품군 유형 Possible values: [WEAR, SHOES, BAG, FASHION_ITEMS, SLEEPING_GEAR, FURNITURE, IMAGE_APPLIANCES, HOME_APPLIANCES, SEASON_APPLIANCES, OFFICE_APPLIANCES, OPTICS_APPLIANCES, MICROELECTRONICS, CELLPHONE, NAVIGATION, CAR_ARTICLES, MEDICAL_APPLIANCES, KITCHEN_UTENSILS, COSMETIC, JEWELLERY, FOOD, GENERAL_FOOD, DIET_FOOD, KIDS, MUSICAL_INSTRUMENT, SPORTS_EQUIPMENT, BOOKS, LODGMENT_RESERVATION, TRAVEL_PACKAGE, AIRLINE_TICKET, RENT_CAR, RENTAL_HA"
상품정보제공고시 상품군 유형명 (string),productInfoProvidedNoticeTypeName,상품정보제공고시,2,✅ 핵심 UDS,productInfoProvidedNoticeTypeName 상품정보제공고시 상품군 유형명 (string)
상품정보제공고시 상품군 필드 길이 (integer,fieldMaxLength,상품정보제공고시,2,✅ 핵심 UDS,fieldMaxLength 상품정보제공고시 상품군 필드 길이 (integer<int32>)
상품정보제공고시 상품군 필드 설명 (string),fieldDescription,상품정보제공고시,2,✅ 핵심 UDS,fieldDescription 상품정보제공고시 상품군 필드 설명 (string)
상품정보제공고시 상품군 필드 이름 (string),fieldName,상품정보제공고시,2,✅ 핵심 UDS,fieldName 상품정보제공고시 상품군 필드 이름 (string)
상품정보제공고시 상품군 필드 추가 설명 (string),fieldAddDescription,상품정보제공고시,2,✅ 핵심 UDS,fieldAddDescription 상품정보제공고시 상품군 필드 추가 설명 (string)
상품정보제공고시 상품군 필드 타입 (string),fieldType,상품정보제공고시,2,✅ 핵심 UDS,fieldType 상품정보제공고시 상품군 필드 타입 (string)
상품주문번호,productOrderId,"교환, 반품, 발주/발송 처리, 부가세 내역, 정산 내역, 주문 조회, 취소",19,✅ 핵심 UDS,"productOrderId 상품 주문 번호 (string) NULLABLE 상품 주문 번호, 배송비 번호, 기타 비용 번호"
상품주문번호 목록,productOrderIds,"발주/발송 처리, 주문 조회",2,✅ 핵심 UDS,productOrderIds string[] REQUIRED
상품주문상태,productOrderStatus,주문 조회,1,✅ 핵심 UDS,productOrderStatus productOrderStatus.pay-order-seller (string) 상품 주문 상태. 250바이트 내외 코드 설명 비고 PAYMENT_WAITING 결제 대기 PAYED 결제 완료 DELIVERING 배송 중 DELIVERED 배송 완료 PURCHASE_DECIDED 구매 확정 EXCHANGED 교환 CANCELED 취소 RETURNED 반품 CANCELED_BY_NOPAYMENT 미결제 취소
상품쿠폰,productCouponDiscountAmount,판매 분석,1,✅ 핵심 UDS,productCouponDiscountAmount number<double> 상품쿠폰
색상칩 사용 여부 (boolean) REQUIRED 색상 코,colorCodeYn,판매 옵션,1,✅ 핵심 UDS,colorCodeYn 색상칩 사용 여부 (boolean) REQUIRED 색상 코드 입력이 가능한 판매 옵션 여부를 표시합니다. 그룹상품 등록/수정/전환 API로 전달되는 hex 코드(#000000 형식)가 색상칩으로 사용됩니다.
생성 일시 (string,createDate,상품 문의,2,✅ 핵심 UDS,createDate 생성 일시 (string<date-time>) Example: 2025-02-03T22:36:42.008+09:00
선물 수락 상태 구분,giftReceivingStatus,주문 조회,1,✅ 핵심 UDS,giftReceivingStatus giftReceivingStatus.pay-order-seller (string) 선물 수락 상태 구분. 250바이트 내외 코드 설명 비고 WAIT_FOR_RECEIVING 수락 대기(배송지 입력 대기) RECEIVED 수락 완료
선택한 계정에 보유한 매니저 권한 타입 Possible va,roleGroupType,판매자 인증 JWE 해석,1,✅ 핵심 UDS,"roleGroupType string 선택한 계정에 보유한 매니저 권한 타입 Possible values: [REPRESENT, MANAGER_GROUP, ACCOUNT, ACCOUNT_SUB]"
선택한 계정에 보유한 매니저 세부 권한 타입 Possible,roleGroupDetailType,판매자 인증 JWE 해석,1,✅ 핵심 UDS,"roleGroupDetailType string 선택한 계정에 보유한 매니저 세부 권한 타입 Possible values: [INFLUENCER, AGENCY, LOGISTICS_MANAGEMENT]"
설치 여부 (boolean) 배송 속성이 HOPE,installation,상품 일괄 수정,1,✅ 핵심 UDS,installation 설치 여부 (boolean) 배송 속성이 HOPE_SELLER_GUARANTEE(N희망일배송)인 경우에만 필수. 미입력 시 false로 설정됩니다. 그 외 배송 속성에 입력한 경우 무시됩니다.
세금 신고 기준일 (string,taxReturnDate,정산 내역,1,✅ 핵심 UDS,taxReturnDate 세금 신고 기준일 (string<date>) NULLABLE 세금 신고 기준일(yyyy-MM-dd)
속성 구분 코드명 (string),attributeClassificationCodeName,상품 속성,1,✅ 핵심 UDS,attributeClassificationCodeName 속성 구분 코드명 (string)
속성 구분 타입 (string) Possible values,attributeClassificationType,상품 속성,1,✅ 핵심 UDS,"attributeClassificationType 속성 구분 타입 (string) Possible values: [SINGLE_SELECT, MULTI_SELECT, RANGE]"
속성 색상 코드 (string),attributeColorCode,옵션,1,✅ 핵심 UDS,attributeColorCode 속성 색상 코드 (string)
속성 유형 코드명 (string),attributeTypeCodeName,상품 속성,1,✅ 핵심 UDS,attributeTypeCodeName 속성 유형 코드명 (string)
속성 유형 타입 (string) Possible values,attributeType,상품 속성,1,✅ 핵심 UDS,"attributeType 속성 유형 타입 (string) Possible values: [PRIMARY, OPTIONAL]"
속성 ID (integer,"attributeId, attributeSeq","상품 속성, 옵션",3,✅ 핵심 UDS,attributeSeq 속성 ID (integer<int64>) REQUIRED
속성값 단위 코드 (string) REQUIRED,id,상품 속성,1,✅ 핵심 UDS,id 속성값 단위 코드 (string) REQUIRED
속성값 단위명 (string) REQUIRED,unitCodeName,상품 속성,1,✅ 핵심 UDS,unitCodeName 속성값 단위명 (string) REQUIRED
속성값 이름 (string) REQUIRED,attributeValueName,옵션,1,✅ 핵심 UDS,attributeValueName 속성값 이름 (string) REQUIRED
속성값 ID (integer,"attributeValueId, attributeValueSeq","상품 속성, 옵션",2,✅ 핵심 UDS,attributeValueSeq 속성값 ID (integer<int64>) REQUIRED
